url,type,topic_path,q_count_estimate,last_updated,revision_number,notes
https://www.ema.europa.eu/en/human-regulatory-overview/herbal-medicinal-products/herbal-medicinal-products-questions-answers,html,/human-regulatory-overview/herbal-medicinal-products/herbal-medicinal-products-questions-answers,14,Aug.2021,,
https://www.ema.europa.eu/en/human-regulatory-overview/medical-devices/consultation-procedure-ancillary-medicinal-substances-medical-devices,html,/human-regulatory-overview/medical-devices/consultation-procedure-ancillary-medicinal-substances-medical-devices,8,March 2021,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/variations-regulation-regulatory-procedural-guidance/type-ia-variations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/variations-regulation-regulatory-procedural-guidance/type-ia-variations-questions-answers,17,June 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/worksharing-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/worksharing-questions-answers,10,Feb 2025,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/extensions-marketing-authorisations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/extensions-marketing-authorisations-questions-answers,20,Mar 2025,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ii-variations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ii-variations-questions-answers,28,Mar 2024,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ib-variations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ib-variations-questions-answers,14,Nov 2025,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/grouping-variations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/grouping-variations-questions-answers,8,December 2024,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ia-variations-questions-answers,html,/human-regulatory-overview/post-authorisation/variations-including-extensions-marketing-authorisations/type-ia-variations-questions-answers,15,Nov 2025,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-31-non-pharmacovigilance-referrals,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-31-non-pharmacovigilance-referrals,34,Jan 2017,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-31-pharmacovigilance-referrals,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-31-pharmacovigilance-referrals,39,Jan 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-30-referral-procedures,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-30-referral-procedures,31,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-294-referral-procedures,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-294-referral-procedures,30,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-20-non-pharmacovigilance-procedures,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-20-non-pharmacovigilance-procedures,31,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-20-pharmacovigilance-procedures,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-20-pharmacovigilance-procedures,37,Jan 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-13-referral-procedures,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-article-13-referral-procedures,30,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-urgent-union-procedures-article-107i,html,/human-regulatory-overview/post-authorisation/referral-procedures-human-medicines/questions-answers-urgent-union-procedures-article-107i,40,Jan 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/post-authorisation-efficacy-studies-questions-answers,html,/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/post-authorisation-efficacy-studies-questions-answers,12,Feb 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/risk-management-plans-rmp-post-authorisation-phase-questions-answers,html,/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/risk-management-plans-rmp-post-authorisation-phase-questions-answers,15,Dec 2023,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/post-authorisation-safety-studies-pass,html,/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/post-authorisation-safety-studies-pass,16,Apr 2021,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/pharmacovigilance-system-questions-answers,html,/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/pharmacovigilance-system-questions-answers,9,January 2016,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/periodic-safety-update-reports-psurs,html,/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/periodic-safety-update-reports-psurs,34,Mar 2025,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/parallel-distribution/frequently-asked-questions-about-parallel-distribution,html,/human-regulatory-overview/post-authorisation/parallel-distribution/frequently-asked-questions-about-parallel-distribution,69,Dec 2024,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/paediatric-medicines-post-authorisation/submitting-results-paediatric-studies,html,/human-regulatory-overview/post-authorisation/paediatric-medicines-post-authorisation/submitting-results-paediatric-studies,7,July 2013,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/medicine-shortages-availability-issues/availability-medicines-during-crises,html,/human-regulatory-overview/post-authorisation/medicine-shortages-availability-issues/availability-medicines-during-crises,6,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/medicine-shortages-availability-issues/fighting-medicine-shortages-it-takes-team,html,/human-regulatory-overview/post-authorisation/medicine-shortages-availability-issues/fighting-medicine-shortages-it-takes-team,9,,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/transfer-marketing-authorisation-questions-answers,html,/human-regulatory-overview/post-authorisation/transfer-marketing-authorisation-questions-answers,15,Mar 2024,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/transparency-questions-answers,html,/human-regulatory-overview/post-authorisation/transparency-questions-answers,6,August 2016,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/renewal-annual-re-assessment-marketing-authorisation,html,/human-regulatory-overview/post-authorisation/renewal-annual-re-assessment-marketing-authorisation,44,February 2019,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/notifying-change-marketing-status,html,/human-regulatory-overview/post-authorisation/notifying-change-marketing-status,19,Dec 2022,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/classification-changes-questions-answers,html,/human-regulatory-overview/post-authorisation/classification-changes-questions-answers,4,Jul 2021,,
https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/changing-labelling-package-leaflet-article-613-notifications,html,/human-regulatory-overview/post-authorisation/changing-labelling-package-leaflet-article-613-notifications,11,Jul 2025,,
